System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
EPIC_219511354-1,K2_V,1.622,13.16,0.94,-0.04,0.0062,-0.0362,0.0076,4.47,0.016,3.702,0.013,-0.31,0.053,0.912010839,3.702,0.94,5.575,K
EPIC_219511354-2,K4_V,1.622,13.16,0.94,-0.0851,0.0085,-0.0701,0.0082,4.494,0.017,3.671,0.012,-0.5,0.052,0.822053343,3.671,0.94,6.05,K
CF_Tau-1,K0,2.756,10.25,0.95,0.1079,0.003,0.4467,0.0017,3.653,0.005,3.716,0.013,0.71,0.05,1.282035349,3.716,0.95,3.025,K
CF_Tau-2,G0,2.756,10.25,0.95,0.0973,0.0038,0.3113,0.0034,3.913,0.008,3.778,0.011,0.69,0.05,1.251122977,3.778,0.95,3.075,G
TZ_For-1,G8_III,75.666,6.88,0.97,0.3132,0.0002,0.9212,0.0057,2.915,0.023,3.693,0.003,1.57,0.02,2.056837587,3.693,0.97,0.875,G
TZ_For-2,F7_III,75.666,6.88,0.97,0.2918,0.0002,0.5988,0.0088,3.539,0.037,3.803,0.005,1.36,0.03,1.9579428,3.803,0.97,1.4,F
OGLE-SMC-ECL-0019-1,G4_III,143.393,17.92,0.99,0.238,0.0075,1.2253,0.0103,2.23,0.02,3.716,0.008,2.27,0.04,1.729816359,3.716,0.99,-0.875,G
OGLE-SMC-ECL-0019-2,G5_III,143.393,17.92,0.99,0.2279,0.0077,1.2742,0.0139,2.12,0.03,3.708,0.009,2.334,0.044,1.690051738,3.708,0.99,-1.035,G
OGLE-BLG-ECL-123903-1,K2_III,118.531,16.9,0.99,0.3107,0.0057,0.9795,0.0022,2.79,0.011,3.679,0.012,1.633,0.071,2.045031491,3.679,0.99,0.7175,K
OGLE-BLG-ECL-123903-2,K2_III,118.531,16.9,0.99,0.3168,0.0048,0.9567,0.0029,2.841,0.012,3.68,0.016,1.591,0.067,2.073958204,3.68,0.99,0.8225,K
OGLE-LMC-ECL-13529-1,G4_III,49.467,17.36,1.01,0.4559,0.0024,1.2312,0.0054,2.432,0.011,3.724,0.006,2.312,0.028,2.856932635,3.724,1.01,-0.98,G
OGLE-LMC-ECL-13529-2,G4_III,49.467,17.36,1.01,0.4487,0.0025,1.2036,0.006,2.48,0.012,3.721,0.007,2.246,0.032,2.809959109,3.721,1.01,-0.815,G
OGLE-SMC-ECL-1492-1,G6_III,73.715,17.71,1.03,-0.0132,0.0045,1.2014,0.0164,2.02,0.03,3.697,0.009,2.149,0.046,0.970063134,3.697,1.03,-0.5725,G
OGLE-SMC-ECL-1492-2,G8_III,73.715,17.71,1.03,-0.0132,0.0045,1.3997,0.0052,1.63,0.01,3.679,0.006,2.468,0.028,0.970063134,3.679,1.03,-1.37,G
OGLE-LMC-ECL-09114-1,G4_III,214.366,16.71,1.03,0.519,0.003,1.4205,0.0056,2.116,0.011,3.719,0.005,2.669,0.023,3.30369541,3.719,1.03,-1.8725,G
OGLE-LMC-ECL-09114-2,G2_III,214.366,16.71,1.03,0.5058,0.0034,1.2739,0.0086,2.396,0.017,3.734,0.009,2.439,0.04,3.204793123,3.734,1.03,-1.2975,G
KIC_4054905-1,none,274.729,13.22,1.04,-0.0203,0.0043,0.9224,0.0014,2.573,0.0026,3.686,0.006,1.542,0.025,0.954333128,3.686,1.04,0.945,n
KIC_4054905-2,none,274.729,13.22,1.04,-0.0193,0.0027,0.4901,0.0013,3.4385,0.0019,3.721,0.019,0.819,0.081,0.956533093,3.721,1.04,2.7525,n
OGLE-SMC-ECL-0727-1,G3_III,316.572,18.11,1.04,0.4281,0.0065,1.1644,0.0059,2.53,0.01,3.724,0.008,2.182,0.034,2.679785297,3.724,1.04,-0.655,G
OGLE-SMC-ECL-0727-2,G8_III,316.572,18.11,1.04,0.4099,0.0068,1.3096,0.0064,2.23,0.01,3.684,0.008,2.31,0.034,2.569803995,3.684,1.04,-0.975,G
KIC_9246715-1,none,171.277,9.58,1.05,0.3398,0.0007,0.9289,0.0061,2.92,0.013,3.689,0.004,1.567,0.022,2.186754354,3.689,1.05,0.8825,n
KIC_9246715-2,none,171.277,9.58,1.05,0.3344,0.0006,0.9138,0.0048,2.945,0.009,3.691,0.005,1.543,0.022,2.159732681,3.691,1.05,0.9425,n
OGLE-SMC-ECL-0970-1,G8_III,191.551,17.93,1.06,0.1584,0.006,1.2648,0.0071,2.07,0.01,3.686,0.006,2.228,0.028,1.440124371,3.686,1.06,-0.77,G
OGLE-SMC-ECL-0970-2,G9_III,191.551,17.93,1.06,0.1523,0.0031,1.3243,0.0041,1.94,0.01,3.679,0.006,2.322,0.027,1.420038111,3.679,1.06,-1.005,G
OGLE-LMC-ECL-21873-1,G4_III,144.188,16.79,1.06,0.4748,0.0031,1.3066,0.0047,2.3,0.009,3.721,0.006,2.453,0.026,2.984008116,3.721,1.06,-1.3325,G
OGLE-LMC-ECL-21873-2,G6_III,144.188,16.79,1.06,0.4904,0.0034,1.3922,0.0042,2.144,0.008,3.704,0.007,2.554,0.029,3.093143011,3.704,1.06,-1.585,G
OGLE-LMC-ECL-13360-1,G1_II-III,262.439,15.82,1.07,0.5966,0.0026,1.4837,0.0054,2.067,0.011,3.74,0.007,2.882,0.031,3.950026416,3.74,1.07,-2.405,G
OGLE-LMC-ECL-13360-2,G4_II-III,262.439,15.82,1.07,0.6085,0.0026,1.5962,0.0039,1.854,0.008,3.706,0.007,2.972,0.028,4.059756633,3.706,1.07,-2.63,G
OGLE-LMC-ECL-10567-1,G6_III,117.975,16.43,1.09,0.5228,0.0038,1.3909,0.0051,2.179,0.01,3.705,0.009,2.555,0.036,3.332728996,3.705,1.09,-1.5875,G
OGLE-LMC-ECL-10567-2,G9_III,117.975,16.43,1.09,0.503,0.0035,1.564,0.003,1.813,0.006,3.673,0.007,2.777,0.028,3.184197522,3.673,1.09,-2.1425,G
OGLE-LMC-SC9-230659-1,G6_III,772.638,16.63,1.09,0.5561,0.0046,1.5163,0.0029,1.962,0.005,3.699,0.006,2.783,0.025,3.5983218,3.699,1.09,-2.1575,G
OGLE-LMC-SC9-230659-2,G6_III,772.638,16.63,1.09,0.5352,0.0038,1.3692,0.0058,2.235,0.011,3.702,0.009,2.5,0.036,3.429256733,3.702,1.09,-1.45,G
OGLE_SMC130.5_4296-1,G7_III,120.468,16.78,1.1,0.2681,0.0059,1.4055,0.0043,1.895,0.014,3.691,0.007,2.529,0.036,1.853958464,3.691,1.1,-1.5225,G
OGLE_SMC130.5_4296-2,K1_III,120.468,16.78,1.1,0.2565,0.0065,1.6628,0.0033,1.369,0.013,3.655,0.007,2.898,0.036,1.805094737,3.655,1.1,-2.445,K
ASAS_J082552-1622.8-1,K7_V,1.528,11.45,1.16,-0.1531,0.0028,-0.1586,0.0056,4.6,0.016,3.624,0.021,-0.808,0.082,0.70291045,3.624,1.16,6.82,K
ASAS_J082552-1622.8-2,M0_V,1.528,11.45,1.16,-0.1629,0.0031,-0.1555,0.0081,4.585,0.016,3.611,0.021,-0.909,0.087,0.687226662,3.611,1.16,7.0725,M
OGLE-LMC-ECL-24887-1,G5_III,94.844,17.68,1.16,0.4389,0.0074,1.2156,0.0069,2.446,0.014,3.71,0.007,2.225,0.031,2.7472615,3.71,1.16,-0.7625,G
OGLE-LMC-ECL-24887-2,G6_III,94.844,17.68,1.16,0.4736,0.0066,1.2512,0.0073,2.409,0.014,3.705,0.007,2.276,0.032,2.975774377,3.705,1.16,-0.89,G
NSVS_10653195-1,K6_V,0.561,12.5,1.17,-0.1937,0.0035,-0.163,0.0133,4.57,0.027,3.628,0.01,-0.863,0.05,0.640176901,3.628,1.17,6.9575,K
NSVS_10653195-2,K7_V,0.561,12.5,1.17,-0.1864,0.0035,-0.1726,0.0129,4.597,0.027,3.613,0.012,-0.939,0.055,0.651028498,3.613,1.17,7.1475,K
V404_CMa-1,none,0.452,17.45,1.17,-0.1349,0.003,-0.1427,0.006,4.608,0.012,3.623,0.01,-0.867,0.044,0.732993292,3.623,1.17,6.9675,n
V404_CMa-2,none,0.452,17.45,1.17,-0.1791,0.0033,-0.1675,0.0128,4.614,0.025,3.596,0.012,-1.028,0.054,0.66206404,3.596,1.17,7.37,n
ASAS_J212954-5620.1-1,none,0.702,11.93,1.17,-0.0794,0.0089,-0.0731,0.0062,4.506,0.012,3.677,0.014,-0.482,0.057,0.832913689,3.677,1.17,6.005,n
ASAS_J212954-5620.1-2,none,0.702,11.93,1.17,-0.153,0.008,-0.1439,0.0103,4.574,0.02,3.625,0.019,-0.84,0.076,0.70307232,3.625,1.17,6.9,n
OGLE-LMC-ECL-25658-1,G8_III,192.789,17,1.17,0.3485,0.0047,1.3304,0.003,2.126,0.006,3.685,0.006,2.354,0.027,2.231002207,3.685,1.17,-1.085,G
OGLE-LMC-ECL-25658-2,G9_III,192.789,17,1.17,0.3483,0.0045,1.4411,0.003,1.904,0.006,3.674,0.007,2.533,0.028,2.22997503,3.674,1.17,-1.5325,G
OGLE-LMC-ECL-01866-1,G3_III,251.247,16.13,1.17,0.5514,0.0024,1.428,0.0084,2.134,0.017,3.724,0.007,2.708,0.032,3.55959018,3.724,1.17,-1.97,G
OGLE-LMC-ECL-01866-2,K1.5_III,251.247,16.13,1.17,0.5502,0.0038,1.6731,0.0046,1.642,0.009,3.653,0.006,2.912,0.025,3.549768245,3.653,1.17,-2.48,K
OGLE-LMC-ECL-09660-1,G3_III,167.796,16.27,1.19,0.4744,0.0019,1.374,0.0039,2.165,0.008,3.72,0.005,2.583,0.023,2.981261008,3.72,1.19,-1.6575,G
OGLE-LMC-ECL-09660-2,K0_III,167.796,16.27,1.19,0.4767,0.0017,1.6474,0.0025,1.62,0.005,3.671,0.009,2.932,0.036,2.997091486,3.671,1.19,-2.53,K
OGLE_SMC126.1_210-1,K2_III,634.999,16.77,1.2,0.2238,0.0096,1.6387,0.0102,1.385,0.029,3.651,0.007,2.836,0.047,1.674171714,3.651,1.2,-2.29,K
OGLE_SMC126.1_210-2,K1_III,634.999,16.77,1.2,0.2225,0.0102,1.5911,0.0109,1.479,0.031,3.654,0.007,2.752,0.049,1.669167807,3.654,1.2,-2.08,K
OGLE-LMC-ECL-12669-1,K0.5_III,749.632,17.21,1.2,0.2655,0.0068,1.3833,0.0061,1.937,0.012,3.666,0.008,2.384,0.034,1.842892489,3.666,1.2,-1.16,K
OGLE-LMC-ECL-12669-2,G9_III,749.632,17.21,1.2,0.2927,0.0066,1.3685,0.0056,1.994,0.011,3.673,0.009,2.386,0.038,1.962004504,3.673,1.2,-1.165,G
OGLE-LMC-ECL-09678-1,G4_III,114.45,17.22,1.2,0.3802,0.0052,1.1389,0.005,2.54,0.01,3.719,0.007,2.107,0.027,2.399937877,3.719,1.2,-0.4675,G
OGLE-LMC-ECL-09678-2,G9_III,114.45,17.22,1.2,0.4064,0.0053,1.4857,0.004,1.873,0.008,3.673,0.008,2.616,0.035,2.549177051,3.673,1.2,-1.74,G
OGLE-LMC-ECL-05430-1,G9_III,505.183,16.61,1.2,0.4341,0.0027,1.4622,0.0054,1.948,0.011,3.673,0.006,2.572,0.028,2.717064824,3.673,1.2,-1.63,G
OGLE-LMC-ECL-05430-2,G9_III,505.183,16.61,1.2,0.5281,0.0023,1.5396,0.0035,1.887,0.007,3.678,0.006,2.744,0.025,3.373649809,3.678,1.2,-2.06,G
OGLE-LMC-ECL-06575-1,G6_II-III,189.994,15.81,1.2,0.6198,0.0023,1.6428,0.0043,1.773,0.008,3.692,0.007,3.009,0.029,4.166774522,3.692,1.2,-2.7225,G
OGLE-LMC-ECL-06575-2,K0_III,189.994,15.81,1.2,0.6009,0.0028,1.6698,0.004,1.699,0.008,3.667,0.006,2.963,0.024,3.989330341,3.667,1.2,-2.6075,K
KIC_9540226-1,none,175.443,12.08,1.21,0.143,0.0097,1.1281,0.0055,2.326,0.01,3.661,0.007,1.854,0.03,1.389952631,3.661,1.21,0.165,n
KIC_9540226-2,none,175.443,12.08,1.21,0.0065,0.0068,0.0145,0.0059,4.416,0.01,3.765,0.015,0.042,0.061,1.015079367,3.765,1.21,4.695,n
V1174_Ori-1,K4.5_V,2.635,13.95,1.24,0.0039,0.0065,0.1268,0.0049,4.19,0.01,3.65,0.012,-0.193,0.048,1.009020524,3.65,1.24,5.2825,K
V1174_Ori-2,M1.5_V,2.635,13.95,1.24,-0.1361,0.0048,0.0273,0.0045,4.25,0.01,3.558,0.012,-0.761,0.058,0.730970752,3.558,1.24,6.7025,M
HD_187669-1,K0_III,88.387,8.88,1.24,0.1772,0.0009,1.0542,0.0107,2.507,0.02,3.667,0.007,1.732,0.031,1.503834348,3.667,1.24,0.47,K
HD_187669-2,K2.5_III,88.387,8.88,1.24,0.1775,0.0012,1.3545,0.0096,1.907,0.019,3.636,0.007,2.207,0.035,1.504873519,3.636,1.24,-0.7175,K
KIC_5640750-1,none,987.398,11.88,1.24,0.1804,0.0095,1.148,0.0037,2.323,0.007,3.656,0.007,1.871,0.029,1.514955932,3.656,1.24,0.1225,n
KIC_5640750-2,none,987.398,11.88,1.24,0.1113,0.0057,0.2679,0.0054,4.014,0.01,3.767,0.015,0.555,0.06,1.292111524,3.767,1.24,3.4125,n
OGLE-BLG-ECL-296596-1,K6_III,155.658,15.48,1.26,0.0386,0.006,1.2567,0.0067,1.963,0.013,3.625,0.014,1.964,0.067,1.092949259,3.625,1.26,-0.11,K
OGLE-BLG-ECL-296596-2,K8_III,155.658,15.48,1.26,0.0512,0.0054,1.4742,0.0048,1.541,0.011,3.599,0.013,2.297,0.06,1.125122993,3.599,1.26,-0.9425,K
NGTS_0002-29-1,M,1.098,17.64,1.28,-0.4003,0.0036,-0.3939,0.0052,4.826,0.01,3.528,0.005,-1.72,0.02,0.397832263,3.528,1.28,9.1,M
NGTS_0002-29-2,M,1.098,17.64,1.28,-0.6488,0.0035,-0.5592,0.0087,4.908,0.017,3.509,0.006,-2.12,0.03,0.224491551,3.509,1.28,10.1,M
OGLE-LMC-ECL-18836-1,G5_III,182.553,17.43,1.29,0.4561,0.0047,1.2028,0.0068,2.489,0.013,3.712,0.008,2.21,0.038,2.858248604,3.712,1.29,-0.725,G
OGLE-LMC-ECL-18836-2,K1_III,182.553,17.43,1.29,0.4447,0.0056,1.4895,0.0046,1.904,0.009,3.663,0.008,2.587,0.032,2.784197249,3.663,1.29,-1.6675,K
OGLE-LMC-ECL-03160-1,G7_III,150.154,17.13,1.31,0.2533,0.0039,1.2312,0.0071,2.229,0.014,3.693,0.009,2.188,0.04,1.791843188,3.693,1.31,-0.67,G
OGLE-LMC-ECL-03160-2,K2_III,150.154,17.13,1.31,0.2558,0.0043,1.5731,0.0028,1.548,0.005,3.648,0.007,2.695,0.028,1.802187612,3.648,1.31,-1.9375,K
HAT-TR-318-007-1,M4_V,3.343,16.13,1.32,-0.3487,0.001,-0.3422,0.0034,4.774,0.0057,3.504,0.015,-1.715,0.06,0.44802268,3.504,1.32,9.0875,M
HAT-TR-318-007-2,M5_V,3.343,16.13,1.32,-0.5653,0.0067,-0.5357,0.0036,4.9442,0.0039,3.491,0.015,-2.151,0.062,0.272082118,3.491,1.32,10.1775,M
OGLE-LMC-ECL-15260-1,G8_III,157.469,16.92,1.36,0.1611,0.0054,1.3659,0.008,1.868,0.016,3.682,0.012,2.415,0.05,1.449105484,3.682,1.36,-1.2375,G
OGLE-LMC-ECL-15260-2,K2_III,157.469,16.92,1.36,0.1529,0.0049,1.6253,0.0095,1.34,0.019,3.645,0.008,2.787,0.038,1.422001322,3.645,1.36,-2.1675,K
V1236_Tau-1,K7_V,2.588,18.1,1.37,-0.104,0.0066,-0.1035,0.0083,4.54,0.02,3.623,0.02,-0.76,0.1,0.78704579,3.623,1.37,6.7,K
V1236_Tau-2,K7_V,2.588,18.1,1.37,-0.1135,0.0051,-0.0878,0.0053,4.5,0.01,3.618,0.025,-0.75,0.09,0.770016444,3.618,1.37,6.675,K
OGLE-LMC-ECL-12933-1,G7_III,125.395,17.38,1.37,0.1807,0.0054,1.2385,0.0055,2.142,0.011,3.69,0.018,2.193,0.073,1.516002788,3.69,1.37,-0.6825,G
OGLE-LMC-ECL-12933-2,K2_III,125.395,17.38,1.37,0.1801,0.0049,1.5612,0.0037,1.496,0.007,3.65,0.015,2.679,0.059,1.513909799,3.65,1.37,-1.8975,K
OGLE-LMC-ECL-12875-1,G8_III,152.85,17.32,1.39,0.2627,0.0047,1.1937,0.0036,2.313,0.007,3.685,0.009,2.083,0.036,1.831049141,3.685,1.39,-0.4075,G
OGLE-LMC-ECL-12875-2,K2.5_III,152.85,17.32,1.39,0.269,0.0054,1.6109,0.0034,1.486,0.006,3.642,0.011,2.744,0.044,1.857804455,3.642,1.39,-2.06,K
CU_Cnc-1,M3.5_Ve,2.771,11.89,1.4,-0.3632,0.0017,-0.3648,0.0052,4.804,0.011,3.5,0.021,-1.778,0.083,0.433311285,3.5,1.4,9.245,M
CU_Cnc-2,M3.5_Ve,2.771,11.89,1.4,-0.4001,0.0015,-0.408,0.0104,4.854,0.021,3.495,0.021,-1.884,0.086,0.398015514,3.495,1.4,9.51,M
MG1-646680-1,M1_V,1.638,17.3,1.4,-0.3019,0.0017,-0.3401,0.0067,4.816,0.013,3.572,0.006,-1.44,0.03,0.498999373,3.572,1.4,8.4,M
MG1-646680-2,M2_V,1.638,17.3,1.4,-0.3536,0.002,-0.3696,0.0061,4.824,0.013,3.56,0.006,-1.55,0.03,0.442996199,3.56,1.4,8.675,M
MG1-116309-1,K8_V,0.827,16.1,1.4,-0.2464,0.0015,-0.2581,0.0102,4.708,0.02,3.593,0.011,-1.19,0.04,0.567022118,3.593,1.4,7.775,K
MG1-116309-2,M0_V,0.827,16.1,1.4,-0.2741,0.0016,-0.2741,0.0073,4.712,0.015,3.581,0.011,-1.27,0.05,0.531985751,3.581,1.4,7.975,M
MG1-506664-1,M1_V,1.548,16,1.4,-0.2336,0.0015,-0.2518,0.0039,4.708,0.008,3.572,0.012,-1.26,0.05,0.583982725,3.572,1.4,7.95,M
MG1-506664-2,M2_V,1.548,16,1.4,-0.2644,0.0016,-0.2899,0.0068,4.753,0.013,3.558,0.012,-1.4,0.05,0.544001378,3.558,1.4,8.3,M
ASAS_J061016-3321.3-1,K5_III,199.857,9.71,1.48,0.0599,0.0117,1.0913,0.0067,2.315,0.014,3.632,0.019,1.667,0.074,1.14788928,3.632,1.48,0.6325,K
ASAS_J061016-3321.3-2,K5_V,199.857,9.71,1.48,0.0615,0.0045,1.5227,0.0051,1.454,0.01,3.583,0.021,2.319,0.092,1.15212606,3.583,1.48,-0.9975,K
LSPM_J1112+7626-1,M4_V,41.033,14.85,1.49,-0.4038,0.0025,-0.4134,0.0061,4.861,0.012,3.486,0.024,-1.92,0.08,0.394638998,3.486,1.49,9.6,M
LSPM_J1112+7626-2,none,41.033,14.85,1.49,-0.5615,0.0019,-0.5261,0.007,4.929,0.014,3.47,0.023,-2.21,0.09,0.274473234,3.47,1.49,10.325,n
YY_Gem-1,M1_Ve,0.814,9.07,1.49,-0.2237,0.0034,-0.2079,0.004,4.63,0.008,3.582,0.011,-1.134,0.009,0.597447846,3.582,1.49,7.635,M
YY_Gem-2,M1_Ve,0.814,9.07,1.49,-0.2212,0.0034,-0.2193,0.0041,4.655,0.051,3.582,0.011,-1.134,0.009,0.60089695,3.582,1.49,7.635,M
MG1-2056316-1,M2_V,1.722,16.2,1.5,-0.3288,0.0019,-0.3556,0.003,4.82,0.006,3.539,0.022,-1.6,0.09,0.469029328,3.539,1.5,8.8,M
MG1-2056316-2,M3_V,1.722,16.2,1.5,-0.4179,0.0023,-0.4271,0.0035,4.874,0.007,3.521,0.022,-1.82,0.09,0.382032227,3.521,1.5,9.35,M
MG1-78457-1,M3_V,1.586,17.7,1.5,-0.2782,0.0016,-0.2967,0.0095,4.753,0.019,3.522,0.013,-1.55,0.05,0.526987119,3.522,1.5,8.675,M
MG1-78457-2,M4_V,1.586,17.7,1.5,-0.3089,0.0018,-0.327,0.0111,4.783,0.022,3.515,0.013,-1.64,0.05,0.491020925,3.515,1.5,8.9,M
GU_Boo-1,M1_V,0.489,13.7,1.5,-0.2147,0.005,-0.2055,0.0112,4.634,0.023,3.593,0.014,-1.09,0.06,0.609958096,3.593,1.5,7.525,M
GU_Boo-2,M1_V,0.489,13.7,1.5,-0.2226,0.0044,-0.2076,0.014,4.63,0.028,3.581,0.015,-1.14,0.08,0.598963006,3.581,1.5,7.65,M
2MASS_J12220147-5737565-1,M2e,3.072,12.85,1.5,-0.1335,0.0034,-0.0106,0.0058,4.33,0.011,3.574,0.004,-0.772,0.021,0.735359995,3.574,1.5,6.73,M
2MASS_J12220147-5737565-2,M2e,3.072,12.85,1.5,-0.1752,0.0029,-0.0259,0.0069,4.31,0.013,3.562,0.004,-0.851,0.022,0.668036205,3.562,1.5,6.9275,M
THOR_42-1,M3.5,0.859,15.17,1.53,-0.3036,0.0044,-0.1811,0.002,4.496,0.003,3.518,0.003,-1.337,0.013,0.497049911,3.518,1.53,8.1425,M
THOR_42-2,none,0.859,15.17,1.53,-0.6882,0.0042,-0.3726,0.002,4.496,0.004,3.478,0.003,-1.879,0.013,0.20502178,3.478,1.53,9.4975,n
CM_Dra-1,M4.5_V,1.268,12.9,1.6,-0.6478,0.0006,-0.6003,0.0003,4.9908,0.0008,3.496,0.01,-2.258,0.038,0.225009057,3.496,1.6,10.445,M
CM_Dra-2,M4.5_V,1.268,12.9,1.6,-0.6776,0.0006,-0.6243,0.0004,5.0091,0.0007,3.494,0.014,-2.313,0.056,0.210087397,3.494,1.6,10.5825,M
OGLE-BLG-ECL-116218-1,K2_III,80.586,17.59,1.6,-0.0137,0.0054,1.2235,0.0073,1.978,0.015,3.627,0.021,1.91,0.08,0.96894695,3.627,1.6,0.025,K
OGLE-BLG-ECL-116218-2,K3_III,80.586,17.59,1.6,-0.0074,0.0053,1.3436,0.0051,1.744,0.009,3.611,0.015,2.08,0.06,0.983105215,3.611,1.6,-0.4,K
ASAS_J180057-2333.8-1,K1_II,269.496,10.34,1.6,0.6914,0.0019,1.717,0.0115,1.696,0.023,3.657,0.008,3.013,0.038,4.913602273,3.657,1.6,-2.7325,K
ASAS_J180057-2333.8-2,K4_II,269.496,10.34,1.6,0.688,0.0019,1.8301,0.009,1.466,0.018,3.624,0.008,3.111,0.037,4.875284901,3.624,1.6,-2.9775,K
UScoCTIO_5-1,M4.5_V,34.001,16.19,1.62,-0.4694,0.0026,-0.0588,0.0012,4.0859,0.0021,3.515,0.013,-1.105,0.053,0.33931261,3.515,1.62,7.5625,M
UScoCTIO_5-2,M4.5_V,34.001,16.19,1.62,-0.4864,0.0027,-0.077,0.0012,4.1053,0.0021,3.513,0.013,-1.146,0.059,0.326287172,3.513,1.62,7.665,M
PTFEB_132.707+19.810-1,M3.5_V,6.016,17.89,1.66,-0.4031,0.0022,-0.4401,0.0096,4.915,0.019,3.513,0.012,-1.863,0.032,0.395275594,3.513,1.66,9.4575,M
PTFEB_132.707+19.810-2,M4.3_V,6.016,17.89,1.66,-0.6782,0.0029,-0.5654,0.0192,4.891,0.039,3.494,0.015,-2.3,0.13,0.209797351,3.494,1.66,10.55,M
OGLE-BLG-ECL-305487-1,KO_III,176.655,18.2,1.7,0.0253,0.0082,1.2849,0.0063,1.893,0.013,3.628,0.042,2.03,0.17,1.059985685,3.628,1.7,-0.275,K
OGLE-BLG-ECL-305487-2,K2_III,176.655,18.2,1.7,-0.0039,0.0079,1.477,0.0035,1.48,0.005,3.6,0.027,2.31,0.11,0.991060119,3.6,1.7,-0.975,K
KOI-126_BC-1,M,1.722,14,1.7,-0.6286,0.0011,-0.5943,0.0014,4.998,0.003,3.51,0.005,-2.194,0.02,0.235179791,3.51,1.7,10.285,M
KOI-126_BC-2,M,1.722,14,1.7,-0.6834,0.0013,-0.6354,0.0013,5.026,0.003,3.501,0.005,-2.312,0.02,0.207300333,3.501,1.7,10.58,M
LP_819-72-1,K5_V,11,10.54,1.76,-0.2291,0.0147,-0.2218,0.0072,4.65,0.02,3.605,0.006,-1.07,0.03,0.590065197,3.605,1.76,7.475,K
LP_819-72-2,K5_V,11,10.54,1.76,-0.1871,0.0134,-0.2366,0.0075,4.72,0.02,3.626,0.006,-1.01,0.03,0.64998001,3.626,1.76,7.325,K
EPIC_203710387-1,M4.5V,2.809,14.3,1.8,-0.9363,0.0116,-0.3648,0.0055,4.231,0.01,3.483,0.011,-1.842,0.047,0.115797718,3.483,1.8,9.405,M
EPIC_203710387-2,M5V,2.809,14.3,1.8,-0.9763,0.0111,-0.373,0.0057,4.207,0.01,3.483,0.011,-1.861,0.047,0.105608774,3.483,1.8,9.4525,M
